Post.id|Tag.id
00|246
00|2007
00|6878
00|8510
10|246
10|1031
10|2007
10|2875
10|6878
20|246
30|246
30|6878
30|8510
40|246
50|246
50|792
50|6878
60|246
60|792
60|2007
70|246
80|246
90|246
90|2007
90|6878
90|7380
90|8510
100|246
110|246
110|792
120|246
120|2007
120|6878
130|246
130|3042
130|8510
140|246
150|246
160|246
160|7380
170|246
170|1031
180|246
190|246
190|792
200|246
200|792
210|246
210|2875
210|8510
220|246
220|1031
220|2007
220|2875
220|7380
230|246
240|246
240|2007
250|246
260|246
260|2875
270|246
270|2875
270|6878
270|8510
280|246
280|792
290|246
290|1031
290|3042
300|246
300|792
300|6878
310|246
310|2007
310|7380
320|246
320|1031
330|246
330|792
330|2875
330|3042
330|6878
340|246
340|792
340|2875
340|6878
340|8510
350|246
350|7380
350|8510
360|246
360|3042
360|6878
370|246
370|1031
370|6878
380|246
380|2007
390|246
390|3042
400|246
400|792
400|1031
410|246
410|2007
420|246
420|3042
420|8510
430|246
430|1031
440|246
440|792
440|8510
450|246
450|792
450|2875
460|246
460|2007
470|246
470|2875
480|246
480|3042
490|246
490|1031
500|246
500|2875
510|246
510|2007
510|3042
510|7380
510|8510
520|246
520|792
520|2875
520|7380
530|246
530|1031
530|2875
540|246
550|246
550|1031
550|2007
560|246
560|3042
570|246
570|6878
570|8510
580|246
580|792
580|1031
590|246
590|792
600|246
600|2875
610|246
610|1031
620|246
620|6878
620|8510
630|246
630|1031
640|246
640|3042
640|6878
650|246
650|6878
660|246
660|1031
660|2007
660|2875
660|3042
660|8510
670|246
670|3042
680|246
680|792
680|1031
680|2875
680|6878
690|246
690|792
700|246
710|246
720|246
720|792
720|2007
730|246
730|792
730|1031
740|246
740|2875
750|246
750|3042
760|246
760|2007
760|2875
760|6878
770|246
770|3042
780|246
780|2875
790|246
790|6878
800|246
800|1031
800|6878
810|246
810|1031
810|2007
810|2875
810|7380
820|246
820|2007
820|2875
830|246
830|2875
830|8510
840|246
850|246
850|2007
860|246
870|246
870|1031
870|3042
870|6878
880|246
880|792
880|1031
890|246
890|2007
890|2875
890|7380
900|246
900|7380
910|246
920|246
920|792
920|1031
930|246
930|3042
940|246
940|1031
940|3042
950|246
950|6878
960|246
960|2007
960|2875
960|6878
960|7380
970|246
970|2875
970|6878
980|246
980|792
990|246
990|792
990|8510
1000|246
1000|792
1000|1031
1000|2007
1000|2875
1010|246
1010|7380
1020|246
1030|246
1030|792
1040|246
1040|792
1050|246
1050|2007
1060|246
1060|1031
1060|6878
1060|7380
1070|246
1070|8510
1080|246
1080|1031
1080|8510
1090|246
1090|6878
1090|7380
1100|246
1100|792
1100|3042
1100|6878
1100|7380
1110|246
1110|3042
1110|7380
1120|246
1120|3042
1130|246
1130|792
1130|2875
1140|246
1140|7380
1140|8510
1150|246
1150|2007
1160|246
1160|1031
1170|246
1170|792
1180|246
1180|792
1180|1031
1180|2875
1180|6878
1190|246
1190|7380
1200|246
1200|3042
1210|246
1210|2007
1210|8510
1220|246
1220|3042
1230|246
1230|2875
1240|246
1240|2007
1240|3042
1250|246
1260|246
1260|1031
1260|6878
1270|246
1270|792
1270|1031
1270|7380
1280|246
1280|3042
1280|8510
1290|246
1290|2007
1300|246
1300|8510
1310|246
1310|6878
1310|7380
1320|246
1320|792
1330|246
1330|2007
1330|3042
1340|246
1340|2875
1340|7380
1350|246
1350|792
1360|246
1360|792
1360|1031
1360|3042
1370|246
1370|6878
1380|246
1380|792
1390|246
1390|8510
1400|246
1400|2875
1410|246
1410|1031
1410|6878
1410|7380
1420|246
1430|246
1430|3042
1440|246
1450|246
1460|246
1460|2007
1460|2875
1460|3042
1460|7380
1470|246
1470|2007
1470|2875
1480|246
1480|8510
1490|246
1500|246
1500|6878
1500|8510
1510|246
1510|2875
1510|7380
1520|246
1520|8510
1530|246
1530|2875
1530|6878
1540|246
1540|8510
1550|246
1550|1031
1550|2007
1550|7380
1560|246
1560|792
1560|2007
1570|246
1570|2007
1570|2875
1570|6878
1570|7380
1570|8510
1580|246
1580|2875
1580|6878
1580|7380
1580|8510
1590|246
1590|1031
1590|2875
1590|7380
1600|246
1600|2875
1600|6878
1600|8510
1610|246
1610|2875
1610|7380
1620|246
1620|1031
1620|7380
1630|246
1640|246
1640|2875
1650|246
1650|2875
1660|246
1660|3042
1670|246
1670|7380
1680|246
1680|1031
1680|7380
1680|8510
1690|246
1690|2007
1690|2875
1690|6878
1700|246
1700|1031
1700|2007
1710|246
1710|2007
1710|3042
1710|8510
1720|246
1720|2007
1730|246
1730|1031
1730|2007
1730|2875
1740|246
1740|792
1740|3042
1740|7380
1750|246
1750|792
1750|2875
1760|246
1760|3042
1760|7380
1760|8510
1770|246
1780|246
1780|792
1780|2007
1780|3042
1780|7380
1790|246
1790|6878
1800|246
1800|7380
1810|246
1820|246
1820|2007
1820|7380
1830|246
1830|2007
1830|8510
1840|246
1840|2875
1840|3042
1840|8510
1850|246
1860|246
1870|246
1870|792
1880|246
1880|2875
1880|3042
1890|246
1890|3042
1890|7380
1900|246
1910|246
1910|792
1910|2007
1920|246
1920|792
1920|1031
1920|7380
1930|246
1930|792
1930|2007
1930|3042
1940|246
1940|7380
1950|246
1950|792
1960|246
1960|792
1960|6878
1970|246
1970|2875
1970|3042
1970|6878
1970|8510
1980|246
1980|8510
1990|246
2000|246
2010|246
2010|792
2010|2007
2010|2875
2020|246
2030|246
2040|246
2040|6878
2050|246
2050|2007
2060|246
2060|792
2070|246
2070|1031
2080|246
2080|1031
2090|246
2100|246
2100|6878
2110|246
2110|8510
2120|246
2120|7380
2130|246
2130|2875
2140|246
2140|3042
2150|246
2150|792
2150|7380
2150|8510
2160|246
2160|792
2160|7380
2170|246
2170|2875
2170|8510
2180|246
2180|2007
2180|6878
2190|246
2200|246
2200|6878
2210|246
2210|2007
2220|246
2230|246
2230|792
2240|246
2240|1031
2240|7380
2250|246
2260|246
2260|792
2260|2875
2260|6878
2270|246
2270|2875
2280|246
2280|2875
2280|6878
2290|246
2290|792
2290|2875
2300|246
2300|792
2300|8510
2310|246
2310|1031
2310|2007
2320|246
2330|246
2330|792
2330|6878
2340|246
2350|246
2350|2007
2350|7380
2360|246
2360|792
2360|8510
2370|246
2370|2007
2370|6878
2380|246
2380|7380
2390|246
